Target_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,X,Type,Family,Clan,Gene_ID
TMUE_0000000156.1,737.223282689628,-1.01107284867278,0.325021553724895,0.000577018950557579,0.00257309259296326,NA,NA,NA,NA,NA
TMUE_0000000536.1,1760.65910587664,-0.229984822549489,0.0930570832135565,0.0121278844095398,0.0372097082872123,NA,NA,NA,NA,NA
TMUE_0000000680.1,7.12261128328078,-1.72132063690837,0.934188642705711,0.00655767109251809,0.0218830798081087,NA,NA,NA,NA,NA
TMUE_0000000681.1,13.0280566503159,-0.791390774907117,1.11543542583215,0.0572112344176871,0.135375088720514,NA,NA,NA,NA,NA
TMUE_0000000682.1,16.1772428211815,-0.21461220214222,0.724625486229134,0.246136972438942,0.409487855879848,NA,NA,NA,NA,NA
TMUE_0000000708.1,6588.21052084514,1.11231578323666,0.294878463092495,4.37809190750848e-05,0.000252926545133555,NA,NA,NA,NA,NA
TMUE_0000000884.1,2585.1347296964,3.69257544771112,0.170303212002258,1.09642998359321e-105,4.49564406862539e-103,NA,NA,NA,NA,NA
TMUE_0000001552.1,20.7103307168848,0.272832575703843,0.697373674474178,0.334245132846439,0.508651876603293,NA,NA,NA,NA,NA
TMUE_0000001795.1,842.546306624979,0.439386524058267,0.247759721896329,0.0569294377141402,0.134827997406223,NA,NA,NA,NA,NA
TMUE_0000001881.1,23.0138593317329,-0.0808465679891492,0.653453022555423,NA,NA,NA,NA,NA,NA,NA
TMUE_0000002069.1,1071.43945188275,-3.72790683821094,0.416609164045034,2.12554521692355e-20,6.21381966431892e-19,NA,NA,NA,NA,NA
TMUE_0000002308.1,17.371171122481,0.1065128413001,0.648453648330418,0.68867290145767,0.811418241026348,NA,NA,NA,NA,NA
TMUE_1000003305.1,9.06942233815065,0.265157683552212,0.685820099648839,0.360069847717528,0.535113453044119,139,I,I17,IP,TMUE_1000003305
TMUE_1000003602.1,2495.37010468522,-0.883230885037273,0.172141038583771,1.16076816342105e-07,1.03992483618564e-06,NA,NA,NA,NA,NA
TMUE_1000004846.1,77.4716222375449,-0.462809883582044,0.837478283490987,0.119654985491263,0.239684689088161,148,I,I17,IP,TMUE_1000004846
TMUE_1000005551.1,2034.02472742144,0.311196410580712,0.101320325398211,0.00188877155014443,0.00736128341661212,125,I,I17,IP,TMUE_1000005551
TMUE_1000005988.1,6588.21052084514,1.11231578323666,0.294878463092495,4.37809190750848e-05,0.000252926545133555,78,I,I01,IA,TMUE_1000005988
TMUE_2000006526.1,8.75061389716762,-0.0435400059209897,0.646038718905628,0.856928443961031,0.92088279980581,NA,NA,NA,NA,NA
TMUE_2000006541.1,175.852790893672,-0.0404181272899944,0.327780096626421,0.887871688575009,0.938324916626447,123,I,I17,IP,TMUE_2000006541
TMUE_2000006571.1,10397.4241291461,1.21264023956395,0.166639348706916,8.50243482983892e-14,1.5432739541879e-12,112,I,I04,ID,TMUE_2000006571
TMUE_2000006572.1,365.830104903231,2.70819396394389,0.211584965759279,9.38710953748434e-39,6.20286233941785e-37,106,I,I04,ID,TMUE_2000006572
TMUE_2000006573.1,403.929621522797,0.942137189038645,0.275174440220749,0.000216640707413757,0.00106889896706368,107,I,I04,ID,TMUE_2000006573
TMUE_2000006574.1,4348.71800844219,1.56577380140251,0.12496666513759,8.77970159642412e-37,5.48422688392258e-35,108,I,I04,ID,TMUE_2000006574
TMUE_2000006575.1,11139.924600422,0.203546761037053,0.112948578665496,0.0689941557952163,0.157207971690126,109,I,I04,ID,TMUE_2000006575
TMUE_2000006596.1,18.683800683615,-0.301756452728976,0.76490165164939,NA,NA,128,I,I17,IP,TMUE_2000006596
TMUE_2000006662.1,37.7446080212256,-0.377186886451493,0.81274094812726,0.106785760606565,0.219872395181278,147,I,I17,IP,TMUE_2000006662
TMUE_2000006702.1,3.01274417073902,-0.0872245336027799,0.682696087911884,NA,NA,150,I,I17,IP,TMUE_2000006702
TMUE_2000006703.1,44.8025415299683,0.424514996265456,0.645077049956768,0.255415032014012,0.42010121637521,149,I,I17,IP,TMUE_2000006703
TMUE_2000006716.1,61.9774747687044,-0.577881266342807,0.44303646597989,0.105722030317627,0.218198372071396,144,I,I17,IP,TMUE_2000006716
TMUE_2000006725.1,165846.247407435,-0.0519627562598365,0.197639205898114,0.780856224277372,0.875970462456503,142,I,I17,IP,TMUE_2000006725
